acqf,trial,iteration,best_f,sum_c_x,cum_costs,eta
EEIPU,1,0,0.03435847026445967,24.2290780544281,"tensor(24.2291, device='cuda:0', dtype=torch.float64)",1.0609856826215982
EEIPU,1,1,0.03435847026445967,20.24723768234253,"tensor(44.4763, device='cuda:0', dtype=torch.float64)",1.059720230266452
EEIPU,1,0,0.04629491235983625,23.529810190200806,"tensor(23.5298, device='cuda:0', dtype=torch.float64)",1.010504177964869
EEIPU,1,1,0.04629491235983625,20.196085929870605,"tensor(43.7259, device='cuda:0', dtype=torch.float64)",1.0093020299928528
EEIPU,1,2,0.05377500157920521,22.274104356765747,"tensor(66.0000, device='cuda:0', dtype=torch.float64)",1.0079761904478073
EEIPU,1,3,0.05377500157920521,19.79426884651184,"tensor(85.7943, device='cuda:0', dtype=torch.float64)",1.0067979601593244
EEIPU,1,4,0.05377500157920521,19.23275089263916,"tensor(105.0270, device='cuda:0', dtype=torch.float64)",1.0056531535585722
